file,pages,chars,chars_per_page,empty_frac,class,note
КР1003_1.pdf,33,0,0.0,1.0,SKIPPED_SCAN,
КР205_2.pdf,25,0,0.0,1.0,SKIPPED_SCAN,
КР206_2.pdf,26,0,0.0,1.0,SKIPPED_SCAN,
КР223_2.pdf,50,0,0.0,1.0,SKIPPED_SCAN,
КР270_2.pdf,68,0,0.0,1.0,SKIPPED_SCAN,
КР401_2.pdf,70,0,0.0,1.0,SKIPPED_SCAN,
КР408_2.pdf,97,0,0.0,1.0,SKIPPED_SCAN,
КР568_2.pdf,49,0,0.0,1.0,SKIPPED_SCAN,
КР570_2.pdf,55,0,0.0,1.0,SKIPPED_SCAN,
КР571_2.pdf,145,0,0.0,1.0,SKIPPED_SCAN,
КР620_3.pdf,46,0,0.0,1.0,SKIPPED_SCAN,
КР632_2.pdf,47,0,0.0,1.0,SKIPPED_SCAN,
КР633_2.pdf,40,0,0.0,1.0,SKIPPED_SCAN,
КР711_2.pdf,78,0,0.0,1.0,SKIPPED_SCAN,
КР738_2.pdf,44,0,0.0,1.0,SKIPPED_SCAN,
КР751_1.pdf,29,0,0.0,1.0,SKIPPED_SCAN,
КР927_1.pdf,95,0,0.0,1.0,SKIPPED_SCAN,
КР939_1.pdf,179,0,0.0,1.0,SKIPPED_SCAN,
КР953_1.pdf,108,0,0.0,1.0,SKIPPED_SCAN,
КР961_1.pdf,104,0,0.0,1.0,SKIPPED_SCAN,
КР973_1.pdf,46,0,0.0,1.0,SKIPPED_SCAN,
КР875_1.pdf,63,6135,97.4,0.762,LOW_TEXT_REVIEW,
КР833_1.pdf,38,30511,802.9,0.026,OK,
КР200_3.pdf,19,15990,841.6,0.105,OK,
КР173_2.pdf,36,32266,896.3,0.056,OK,
КР18_2.pdf,37,33621,908.7,0.054,OK,
КР595_3.pdf,51,49276,966.2,0.039,OK,
КР913_1.pdf,24,23695,987.3,0.083,OK,
КР474_2.pdf,49,48423,988.2,0.143,OK,
